(*_*)	Amazed
(*_*;	Amazed
(+_+)	Amazed
(@_@)	Amazed
(@_@。	Amazed
(＠_＠;)	Amazed
＼(◎o◎)／！	Amazed
((d[-_-]b))	headphones
(^0_0^)	Eyeglasses
( ..)φ	Jotting Note
φ(..)	Jotting Note
(￣ー￣)	Grinning
(*´▽｀*)	Infatuation
(*°∀°)=3	Infatuation
(*￣m￣)	disatisfied
ヽ(´ー｀)┌	shrug
¯\_(ツ)_/¯	shrug
(´･ω･`)	deflated
(‘A`)	deflated
.o○	Bubbles
○o.	Bubbles
( ^^)_U~~	tea
( ^^)_旦~~	tea
☆彡	Shooting Star
☆ミ	Shooting Star
>°)))彡	Fish
(Q))><ヨヨ	Fish
(°))<<	Fish
>°))))彡	Fish
<°)))彡	Fish
>°))彡	Fish
<+))><<	Fish
<*))>=<	Fish
<コ:彡	Squid
Ｃ:.ミ	Squid
~>°)～～～	Snake
～°·_·°～	Bat
(°°)～	Tadpole
●～*	Bomb
(╯°□°）╯︵ ┻━┻	Angry
┬──┬ ¯\_(ツ)	Angry
┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻	Angry
┬─┬ノ( º _ ºノ)	Angry
(ノಠ益ಠ)ノ彡┻━┻	Angry
