	:)	Smile
263	(._.)	Looking Down
264	^m^	Gigle
265	(－‸ლ)	Face palm
266	(^^)/~~~	Waving
267	(^_^)/~	Waving
268	(;_;)/~~~	Waving
269	(^.^)/~~~	Waving
270	(-_-)/~~~	Waving
271	($··)/~~~	Waving
272	(@^^)/~~~	Waving
273	(T_T)/~~~	Waving
274	(ToT)/~~~	Waving
275	(*_*)	Amazed
276	(*_*;	Amazed
277	(+_+)	Amazed
278	(@_@)	Amazed
279	(@_@。	Amazed
280	(＠_＠;)	Amazed
281	＼(◎o◎)／！	Amazed
282	((d[-_-]b))	headphones
283	(^0_0^)	Eyeglasses
284	( ..)φ	Jotting Note
285	φ(..)	Jotting Note
286	(￣ー￣)	Grinning
287	(*´▽｀*)	Infatuation
288	(*°∀°)=3	Infatuation
289	(*￣m￣)	disatisfied
290	ヽ(´ー｀)┌	shrug
291	¯\_(ツ)_/¯	shrug
292	(´･ω･`)	deflated
293	(‘A`)	deflated
294	.o○	Bubbles
295	○o.	Bubbles
296	( ^^)_U~~	tea
297	( ^^)_旦~~	tea
298	☆彡	Shooting Star
299	☆ミ	Shooting Star
300	>°)))彡	Fish
301	(Q))><ヨヨ	Fish
302	(°))<<	Fish
303	>°))))彡	Fish
304	<°)))彡	Fish
305	>°))彡	Fish
306	<+))><<	Fish
307	<*))>=<	Fish
308	<コ:彡	Squid
309	Ｃ:.ミ	Squid
310	~>°)～～～	Snake
311	～°·_·°～	Bat
312	(°°)～	Tadpole
313	●～*	Bomb
314	(╯°□°）╯︵ ┻━┻	Angry
315	┬──┬ ¯\_(ツ)	Angry
316	┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻	Angry
317	┬─┬ノ( º _ ºノ)	Angry
318	(ノಠ益ಠ)ノ彡┻━┻	Angry
